timestamp,lidar_right,lidar_front_right,lidar_front,lidar_left,odom_linear_x,odom_angular_z,pos_x,pos_y,cmd_linear_x,cmd_angular_z,imu_angular_z,imu_accel_x,imu_accel_y,wheel_speed_0,wheel_speed_1,wheel_speed_2,wheel_speed_3,distance_travelled,action_label
2026-07-09 12:28:34.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,idle
2026-07-09 12:28:34.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,idle
2026-07-09 12:28:34.987,1.216,3.165,5.873,2.632,0.0,-0.0,-4.0185,-4.7937,0.0,0.0,-0.0405,-0.1629,0.0958,0.0,0.0,0.0,0.0,0.0,idle
2026-07-09 12:28:35.086,1.21,3.146,5.868,2.632,0.0,-0.0,-4.0185,-4.7937,0.0,0.0,-0.0586,-0.0958,0.4694,0.0,0.0,0.0,0.0,0.0,searching_wall
2026-07-09 12:28:35.186,1.21,3.146,5.868,2.632,0.0003,0.0027,-4.0193,-4.793,0.0,0.0,2.6877,0.4982,-1.2837,0.0,0.0,0.0,0.0,0.0011,searching_wall
2026-07-09 12:28:35.286,1.21,3.146,5.868,2.632,0.0008,0.0101,-4.0216,-4.7906,0.0,0.0,0.5635,0.0192,0.0671,0.0,0.0,0.0,0.0,0.0044,searching_wall
2026-07-09 12:28:35.386,1.21,3.146,5.868,2.632,-0.0001,0.017,-4.0267,-4.7867,0.0,0.0,0.3025,-0.0862,-0.4119,0.0,0.0,0.0,0.0,0.0108,searching_wall
2026-07-09 12:28:35.486,1.258,3.514,5.413,2.639,-0.0008,0.0248,-4.034,-4.7827,0.0,0.0,0.1449,0.0096,0.0287,0.0,0.0,0.0,0.0,0.019,searching_wall
2026-07-09 12:28:35.586,1.315,4.073,4.988,2.652,-0.002,0.0356,-4.0449,-4.7779,0.0,0.0,2.6877,0.4982,-1.2837,0.0,0.0,0.0,0.0,0.0308,searching_wall
2026-07-09 12:28:35.687,1.352,4.376,4.789,2.671,-0.0017,0.0307,-4.0522,-4.7749,0.0,0.0,0.0032,0.1437,0.0287,0.0,0.0,0.0,0.0,0.0386,searching_wall
2026-07-09 12:28:35.786,1.378,4.723,4.643,2.652,-0.0007,0.0158,-4.0709,-4.767,0.0,0.0,2.6877,0.4982,-1.2837,0.0,0.0,0.0,0.0,0.0588,searching_wall
2026-07-09 12:28:35.886,1.411,4.852,4.522,2.655,-0.0006,0.0208,-4.0854,-4.7605,0.0,0.0,-0.1459,0.4694,0.0383,0.0,0.0,0.0,0.0,0.0747,searching_wall
2026-07-09 12:28:35.986,1.45,4.855,4.43,2.632,-0.0002,0.0183,-4.0995,-4.7542,0.0,0.0,0.0341,0.0192,0.6514,0.0,0.0,0.0,0.0,0.0901,searching_wall
2026-07-09 12:28:36.086,1.469,4.878,4.424,2.608,-0.0001,0.0134,-4.1132,-4.748,0.0,0.0,-0.0245,-0.1629,-0.2395,0.0,0.0,0.0,0.0,0.1052,searching_wall
2026-07-09 12:28:36.186,1.469,4.879,4.383,2.591,-0.0001,0.0189,-4.127,-4.7421,0.0,0.0,-0.0895,-0.1724,-0.1533,0.0,0.0,0.0,0.0,0.1201,searching_wall
2026-07-09 12:28:36.286,1.491,4.885,4.358,2.576,-0.0002,0.0186,-4.1393,-4.737,0.0,0.0,-0.0426,-0.0766,0.1533,0.0,0.0,0.0,0.0,0.1334,searching_wall
2026-07-09 12:28:36.386,1.517,4.903,4.313,2.543,-0.0001,0.0207,-4.1545,-4.7311,0.0,0.0,-0.0383,-0.1533,0.5461,0.0,0.0,0.0,0.0,0.1497,searching_wall
2026-07-09 12:28:36.486,1.542,4.915,4.281,2.535,-0.0001,0.0197,-4.1685,-4.7259,0.0,0.0,0.0522,0.0192,0.661,0.0,0.0,0.0,0.0,0.1646,searching_wall
2026-07-09 12:28:36.586,1.558,4.919,4.26,2.513,-0.0001,0.0114,-4.1826,-4.7209,0.0,0.0,0.0181,0.0575,0.1437,0.0,0.0,0.0,0.0,0.1795,searching_wall
2026-07-09 12:28:36.686,1.571,4.933,4.236,2.495,-0.0001,0.0191,-4.1906,-4.7182,0.0,0.0,-0.0309,-0.0479,0.4694,0.0,0.0,0.0,0.0,0.1879,searching_wall
2026-07-09 12:28:36.786,1.599,4.957,4.195,2.482,-0.0,0.0186,-4.2084,-4.7124,0.0,0.0,0.0096,-0.115,-0.2682,0.0,0.0,0.0,0.0,0.2066,searching_wall
2026-07-09 12:28:36.886,1.623,4.965,4.154,2.452,-0.0,0.0145,-4.224,-4.7077,0.0,0.0,0.0149,-0.2491,0.4694,0.0,0.0,0.0,0.0,0.2228,searching_wall
2026-07-09 12:28:36.986,1.649,5.029,4.099,2.432,0.0001,0.0197,-4.238,-4.7036,0.0,0.0,2.6877,0.4982,-1.2837,0.0,0.0,0.0,0.0,0.2373,searching_wall
2026-07-09 12:28:37.086,1.665,5.108,4.09,2.4,0.0001,0.0171,-4.2544,-4.6992,0.0,0.0,0.0415,-0.0766,0.3832,0.0,0.0,0.0,0.0,0.2541,searching_wall
2026-07-09 12:28:37.186,1.69,5.195,4.047,2.389,0.0,0.0163,-4.2675,-4.6959,0.0,0.0,-0.0138,0.1245,0.5269,0.0,0.0,0.0,0.0,0.2675,searching_wall
2026-07-09 12:28:37.286,1.712,5.249,4.014,2.371,0.0,0.0178,-4.2809,-4.6927,0.0,0.0,-0.0256,-0.0671,0.3545,0.0,0.0,0.0,0.0,0.2812,searching_wall
2026-07-09 12:28:37.386,1.724,5.213,3.977,2.349,0.0,0.0131,-4.2981,-4.689,0.0,0.0,-0.0394,-0.115,0.0479,0.0,0.0,0.0,0.0,0.2986,searching_wall
2026-07-09 12:28:37.486,1.755,5.269,3.938,2.317,0.0,0.0131,-4.3129,-4.6861,0.0,0.0,0.0075,-0.0766,-0.0192,0.0,0.0,0.0,0.0,0.3134,searching_wall
2026-07-09 12:28:37.586,1.77,65.533,3.896,2.307,0.0,0.0139,-4.3255,-4.6838,0.0,0.0,0.0692,-0.2108,0.3545,0.0,0.0,0.0,0.0,0.3261,searching_wall
2026-07-09 12:28:37.686,1.8,65.533,3.86,2.284,0.0001,0.0194,-4.3431,-4.681,0.0,0.0,-0.0575,-0.0287,0.5556,0.0,0.0,0.0,0.0,0.3436,searching_wall
2026-07-09 12:28:37.786,1.815,65.533,3.826,2.268,0.0001,0.0175,-4.3542,-4.6793,0.0,0.0,0.0256,0.0671,-0.0671,0.0,0.0,0.0,0.0,0.3547,searching_wall
2026-07-09 12:28:37.886,1.847,65.533,3.791,2.231,0.0001,0.0179,-4.3731,-4.6769,0.0,0.0,0.032,0.0479,0.1916,0.0,0.0,0.0,0.0,0.3733,searching_wall
2026-07-09 12:28:37.986,1.858,65.533,3.765,2.221,-0.0002,0.0171,-4.3866,-4.6755,0.0,0.0,0.0863,0.2682,1.2742,0.0,0.0,0.0,0.0,0.3866,searching_wall
2026-07-09 12:28:38.086,1.873,65.533,3.763,2.19,-0.0002,0.0133,-4.4011,-4.6743,0.0,0.0,-0.1395,-0.2491,-0.0479,0.0,0.0,0.0,0.0,0.4008,searching_wall
2026-07-09 12:28:38.186,1.9,65.533,3.714,2.184,-0.0,0.0196,-4.4172,-4.6732,0.0,0.0,-0.0607,-0.2108,-0.297,0.0,0.0,0.0,0.0,0.4165,searching_wall
2026-07-09 12:28:38.286,1.923,65.533,3.658,2.153,0.0001,0.0122,-4.4319,-4.6724,0.0,0.0,0.066,0.1437,0.7377,0.0,0.0,0.0,0.0,0.4308,searching_wall
2026-07-09 12:28:38.386,1.945,65.533,3.63,2.132,0.0001,0.012,-4.4444,-4.6718,0.0,0.0,0.0277,-0.4215,0.3161,0.0,0.0,0.0,0.0,0.443,searching_wall
2026-07-09 12:28:38.486,1.959,65.533,3.585,2.114,0.0002,0.0175,-4.4617,-4.6712,0.0,0.0,0.0767,0.182,1.5711,0.0,0.0,0.0,0.0,0.4598,searching_wall
2026-07-09 12:28:38.586,1.983,65.533,3.543,2.091,0.0001,0.0133,-4.4744,-4.671,0.0,0.0,2.6877,0.4982,-1.2837,0.0,0.0,0.0,0.0,0.4721,searching_wall
2026-07-09 12:28:38.686,2.004,65.533,3.505,2.073,0.0001,0.0177,-4.4919,-4.671,0.0,0.0,-0.0852,-0.2203,0.1533,0.0,0.0,0.0,0.0,0.489,searching_wall
2026-07-09 12:28:38.786,2.026,65.533,3.45,2.057,0.0001,0.0197,-4.503,-4.6712,0.0,0.0,0.0288,-0.479,0.182,0.0,0.0,0.0,0.0,0.4997,searching_wall
2026-07-09 12:28:38.886,2.051,65.533,3.422,2.05,0.0001,0.0128,-4.5215,-4.6719,0.0,0.0,0.0,0.0383,1.1496,0.0,0.0,0.0,0.0,0.5175,searching_wall
2026-07-09 12:28:38.986,2.06,65.533,3.385,2.022,0.0001,0.0188,-4.5374,-4.6729,0.0,0.0,0.0149,0.1533,0.4407,0.0,0.0,0.0,0.0,0.5328,searching_wall
2026-07-09 12:28:39.086,2.084,65.533,3.322,2.01,0.0,0.013,-4.5492,-4.6738,0.0,0.0,2.6877,0.4982,-1.2837,0.0,0.0,0.0,0.0,0.5441,searching_wall
2026-07-09 12:28:39.186,2.111,65.533,3.295,1.995,0.0,0.0124,-4.5657,-4.6753,0.1,0.0,-0.0511,-0.0096,-0.2682,0.0,0.0,0.0,0.0,0.5599,approaching_wall
2026-07-09 12:28:39.286,2.142,65.533,3.268,1.971,0.0007,0.0234,-4.5826,-4.677,0.1,0.0,-0.4368,0.0766,-0.6706,0.0,0.0,0.0,0.0,0.576,approaching_wall
2026-07-09 12:28:39.386,2.164,65.533,3.203,1.937,0.0022,0.0196,-4.6009,-4.678,0.1,0.0,-0.4815,-0.1245,-0.7281,0.0,0.0,0.0,0.0,0.5938,approaching_wall
